"pp","Version","Gender","age","handness","education","profession","hearing","seeing","RT1_CRK","RT1_CRL","RT1_CSK","RT1_CSL","RT1_TSK","RT1_TSL","E1_CRK","E1_CRL","E1_CSK","E1_CSL","E1_TSK","E1_TSL","RT2_CRK","RT2_CRL","RT2_CSK","RT2_CSL","RT2_TSK","RT2_TSL","E2_CRK","E2_CRL","E2_CSK","E2_CSL","E2_TSK","E2_TSL"
1.000000,1.000000,1.000000,18.000000,1.000000,5.000000,"student_psychology",0.000000,0.000000,727.000000,557.000000,1120.000000,875.000000,741.000000,813.000000,0.068000,0.023000,0.106000,0.140000,0.111000,0.089000,1363.000000,756.000000,2039.000000,1077.000000,1651.000000,1124.000000,0.067000,0.103000,0.174000,0.089000,0.326000,0.024000
2.000000,2.000000,1.000000,22.000000,1.000000,5.000000,"student_psychology",0.000000,0.000000,511.000000,393.000000,599.000000,488.000000,528.000000,441.000000,0.043000,0.021000,0.044000,0.000000,0.064000,0.043000,1049.000000,427.000000,1148.000000,477.000000,1034.000000,455.000000,0.023000,0.043000,0.045000,0.022000,0.065000,0.042000
3.000000,3.000000,1.000000,18.000000,1.000000,5.000000,"student_psychology",0.000000,0.000000,1083.000000,966.000000,1082.000000,1084.000000,1284.000000,987.000000,0.109000,0.149000,0.095000,0.085000,0.111000,0.077000,3381.000000,2763.000000,3287.000000,2684.000000,3608.000000,3000.000000,0.089000,0.174000,0.174000,0.089000,0.093000,0.049000
4.000000,4.000000,1.000000,19.000000,1.000000,5.000000,"student_psychology",0.000000,0.000000,995.000000,1192.000000,1246.000000,1280.000000,1214.000000,1312.000000,0.021000,0.065000,0.000000,0.128000,0.000000,0.043000,1556.000000,1188.000000,2101.000000,1569.000000,2060.000000,1687.000000,0.125000,0.163000,0.190000,0.150000,0.167000,0.267000
5.000000,1.000000,1.000000,19.000000,1.000000,5.000000,"student_psychology",0.000000,1.000000,504.000000,461.000000,528.000000,423.000000,579.000000,453.000000,0.061000,0.021000,0.022000,0.022000,0.000000,0.064000,1143.000000,493.000000,1198.000000,532.000000,1251.000000,533.000000,0.068000,0.044000,0.021000,0.067000,0.085000,0.089000
6.000000,2.000000,1.000000,19.000000,1.000000,5.000000,"student_psychology",0.000000,0.000000,1373.000000,1493.000000,1576.000000,1661.000000,1648.000000,1502.000000,0.064000,0.043000,0.043000,0.065000,0.000000,0.021000,1753.000000,1298.000000,2066.000000,1583.000000,2289.000000,1421.000000,0.159000,0.171000,0.175000,0.220000,0.214000,0.152000
7.000000,3.000000,1.000000,20.000000,2.000000,5.000000,"student_psychology",0.000000,0.000000,1002.000000,1480.000000,1395.000000,1593.000000,1714.000000,1892.000000,0.136000,0.128000,0.022000,0.000000,0.087000,0.048000,1396.000000,1510.000000,1965.000000,1604.000000,2101.000000,1829.000000,0.070000,0.089000,0.116000,0.175000,0.190000,0.275000
8.000000,4.000000,1.000000,24.000000,1.000000,5.000000,"student_psychology",0.000000,0.000000,1805.000000,2124.000000,1978.000000,2367.000000,2288.000000,2611.000000,0.000000,0.021000,0.000000,0.000000,0.021000,0.000000,2407.000000,2071.000000,2629.000000,2230.000000,3147.000000,2627.000000,0.063000,0.000000,0.000000,0.021000,0.043000,0.000000
9.000000,1.000000,2.000000,21.000000,1.000000,5.000000,"student_psychology",0.000000,0.000000,620.000000,583.000000,817.000000,645.000000,805.000000,627.000000,0.000000,0.000000,0.022000,0.083000,0.000000,0.085000,1198.000000,724.000000,1394.000000,766.000000,1548.000000,815.000000,0.114000,0.114000,0.048000,0.133000,0.119000,0.089000
10.000000,2.000000,2.000000,20.000000,1.000000,5.000000,"student_psychology",0.000000,1.000000,2046.000000,2500.000000,2660.000000,2940.000000,2899.000000,3410.000000,0.020000,0.000000,0.021000,0.000000,0.000000,0.000000,2324.000000,2074.000000,3045.000000,2659.000000,3364.000000,3091.000000,0.091000,0.000000,0.133000,0.047000,0.209000,0.128000
11.000000,3.000000,1.000000,18.000000,1.000000,5.000000,"student_psychology",0.000000,0.000000,461.000000,412.000000,527.000000,419.000000,550.000000,513.000000,0.083000,0.000000,0.087000,0.047000,0.064000,0.043000,814.000000,396.000000,902.000000,438.000000,1064.000000,497.000000,0.128000,0.136000,0.048000,0.085000,0.065000,0.091000
12.000000,4.000000,1.000000,26.000000,1.000000,5.000000,"student_psychology",0.000000,1.000000,431.000000,460.000000,618.000000,487.000000,644.000000,641.000000,0.000000,0.047000,0.091000,0.044000,0.170000,0.021000,805.000000,409.000000,1023.000000,472.000000,970.000000,588.000000,0.114000,0.150000,0.143000,0.146000,0.209000,0.182000
13.000000,1.000000,1.000000,20.000000,1.000000,5.000000,"student_psychology",0.000000,1.000000,853.000000,804.000000,1050.000000,838.000000,910.000000,813.000000,0.021000,0.043000,0.000000,0.064000,0.021000,0.067000,3006.000000,2300.000000,2947.000000,2336.000000,3081.000000,2550.000000,0.043000,0.045000,0.065000,0.043000,0.114000,0.085000
14.000000,2.000000,1.000000,20.000000,1.000000,5.000000,"student_psychology",0.000000,0.000000,1681.000000,2038.000000,1870.000000,2060.000000,2011.000000,2257.000000,0.064000,0.068000,0.136000,0.067000,0.022000,0.021000,1933.000000,1472.000000,2072.000000,1530.000000,2195.000000,1779.000000,0.133000,0.000000,0.152000,0.211000,0.119000,0.067000
15.000000,3.000000,1.000000,20.000000,1.000000,5.000000,"student_psychology",0.000000,0.000000,1876.000000,2440.000000,2043.000000,2381.000000,2887.000000,3281.000000,0.041000,0.021000,0.021000,0.000000,0.000000,0.000000,2193.000000,1966.000000,2285.000000,1884.000000,3211.000000,2850.000000,0.041000,0.000000,0.021000,0.021000,0.021000,0.021000
16.000000,4.000000,1.000000,20.000000,1.000000,5.000000,"student_psychology",0.000000,0.000000,2297.000000,2795.000000,2712.000000,3051.000000,2875.000000,2686.000000,0.000000,0.021000,0.021000,0.085000,0.021000,0.043000,2536.000000,2285.000000,2942.000000,2526.000000,3156.000000,2343.000000,0.022000,0.085000,0.087000,0.000000,0.091000,0.064000
17.000000,1.000000,1.000000,22.000000,2.000000,5.000000,"student_psychology",0.000000,0.000000,952.000000,1384.000000,1221.000000,1528.000000,1004.000000,1475.000000,0.104000,0.064000,0.048000,0.065000,0.044000,0.070000,1339.000000,1032.000000,1670.000000,1243.000000,1478.000000,1203.000000,0.130000,0.122000,0.135000,0.047000,0.244000,0.140000
18.000000,2.000000,1.000000,29.000000,1.000000,5.000000,"student_psychology",0.000000,0.000000,1159.000000,1627.000000,1770.000000,1695.000000,2053.000000,2098.000000,0.000000,0.000000,0.022000,0.021000,0.021000,0.000000,1469.000000,1106.000000,2084.000000,1218.000000,2628.000000,1664.000000,0.042000,0.043000,0.022000,0.000000,0.042000,0.000000
19.000000,3.000000,1.000000,24.000000,1.000000,5.000000,"student_psychology",0.000000,0.000000,1769.000000,2250.000000,1952.000000,2143.000000,2191.000000,2470.000000,0.063000,0.022000,0.021000,0.021000,0.022000,0.000000,2182.000000,2093.000000,2505.000000,2060.000000,3077.000000,2340.000000,0.064000,0.071000,0.111000,0.023000,0.182000,0.114000
20.000000,4.000000,1.000000,18.000000,1.000000,5.000000,"student_psychology",0.000000,0.000000,624.000000,529.000000,665.000000,562.000000,970.000000,553.000000,0.022000,0.065000,0.000000,0.021000,0.067000,0.043000,1168.000000,686.000000,1291.000000,707.000000,1563.000000,724.000000,0.043000,0.022000,0.109000,0.065000,0.045000,0.043000
21.000000,1.000000,1.000000,19.000000,1.000000,5.000000,"student_psychology",0.000000,0.000000,1956.000000,2173.000000,2236.000000,2290.000000,2150.000000,2159.000000,0.042000,0.000000,0.043000,0.043000,0.000000,0.021000,2476.000000,2463.000000,2477.000000,2472.000000,2751.000000,2392.000000,0.209000,0.111000,0.308000,0.159000,0.163000,0.238000
22.000000,2.000000,2.000000,19.000000,1.000000,5.000000,"student_psychology",0.000000,0.000000,1122.000000,1359.000000,1413.000000,1347.000000,1384.000000,1494.000000,0.000000,0.000000,0.022000,0.021000,0.043000,0.000000,1235.000000,775.000000,1527.000000,738.000000,1484.000000,929.000000,0.085000,0.045000,0.114000,0.064000,0.045000,0.000000
23.000000,3.000000,1.000000,20.000000,1.000000,5.000000,"student_psychology",0.000000,0.000000,1035.000000,1234.000000,988.000000,1220.000000,1446.000000,1563.000000,0.083000,0.044000,0.067000,0.068000,0.087000,0.022000,1503.000000,1073.000000,1495.000000,1170.000000,1961.000000,1432.000000,0.152000,0.091000,0.136000,0.163000,0.182000,0.026000
24.000000,4.000000,2.000000,21.000000,1.000000,5.000000,"student_psychology",0.000000,1.000000,1169.000000,1192.000000,1445.000000,1181.000000,1308.000000,1254.000000,0.089000,0.022000,0.044000,0.064000,0.068000,0.043000,1827.000000,1139.000000,2262.000000,1244.000000,2352.000000,1625.000000,0.209000,0.140000,0.114000,0.154000,0.186000,0.163000
